Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,43,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,29,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,47,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,54,Other Vehicle 
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,27,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,14,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Female,35,Car
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Goods vehicle 7.5 tonnes mgw and over
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Pedal cycle
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,50,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,72,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,39,Car
2,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,37,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,47,Bus or coach (17 or more passenger seats)
2,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,42,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,25,M/cycle 50cc and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,35,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,35,Bus or coach (17 or more passenger seats)
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,36,Pedal cycle
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,56,Bus or coach (17 or more passenger seats)
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Bus or coach (17 or more passenger seats)
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,47,Bus or coach (17 or more passenger seats)
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,68,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Bus or coach (17 or more passenger seats)
2,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,33,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,76,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,37,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,64,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,65,Car
3,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,30,Car
3,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,57,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,86,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,85,Car
2,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Bus or coach (17 or more passenger seats)
2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,46,Motorcycle over 50cc and up to 125cc
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,6,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,31,Car
1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,22,Motorcycle over 50cc and up to 125cc
1,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,15,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,21,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,59,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,8,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,6,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,45,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Car
5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,6,Car
5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,25,Car
3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,46,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Serious,Male,21,Motorcycle over 500cc
2,A,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver/Rider,Slight,Male,19,Car
2,A,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver/Rider,Slight,Male,22,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,27,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,60,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,M/cycle 50cc and under
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,63,Goods vehicle 3.5 tonnes mgw and under
2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Goods vehicle 3.5 tonnes mgw and under
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,M/cycle 50cc and under
2,A,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Female,34,Bus or coach (17 or more passenger seats)
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,34,Bus or coach (17 or more passenger seats)
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Car
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Car
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,36,Car
4,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
6,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,28,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,64,Pedal cycle
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,48,Motorcycle over 50cc and up to 125cc
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,37,Goods vehicle 3.5 tonnes mgw and under
1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,24,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Pedal cycle
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,65,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,16,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Pedal cycle
1,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,24,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,24,Taxi/Private hire car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,62,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,52,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,7,Car
1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Taxi/Private hire car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,2,Goods vehicle 3.5 tonnes mgw and under
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,56,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,16,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Car
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Pedal cycle
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car
2,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,51,Motorcycle over 50cc and up to 125cc
1,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,38,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,21,Goods vehicle 7.5 tonnes mgw and over
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Pedal cycle
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,31,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,32,Car
3,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Motorcycle over 500cc
1,Motorway,Wet / Damp,Daylight: street lights present,Other,Driver/Rider,Serious,Male,55,Goods vehicle 7.5 tonnes mgw and over
2,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,52,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,12,Pedal cycle
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Motorcycle over 50cc and up to 125cc
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Car
2,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
1,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,85,Bus or coach (17 or more passenger seats)
2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Taxi/Private hire car
2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,27,Taxi/Private hire car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,28,Car
1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,9,Car
